make,model,year,overall_rating,frontal_crash,side_crash,rollover,safety_concern,model,1,2,3,,,,
Acura,MDX SUV AWD,2011,4.3,4,4,5,TRUE,MDX,SUV,AWD,,,,,
Acura,ZDX SUV AWD,2011,4.3,4,5,4,FALSE,ZDX,SUV,AWD,,,,,
Acura,ILX 4 DR FWD,2018,4.3,4,5,4,FALSE,ILX,4,DR,FWD,,,,
Acura,MDX SUV FWD,2018,4.7,5,5,4,FALSE,MDX,SUV,FWD,,,,,
Acura,MDX SUV AWD,2018,4.7,5,5,4,FALSE,MDX,SUV,AWD,,,,,
Acura,RLX 4 DR FWD,2018,5,5,5,5,FALSE,RLX,4,DR,FWD,,,,
Acura,ZDX SUV 4WD,2012,4.3,4,5,4,FALSE,ZDX,SUV,4WD,,,,,
Acura,RLX 4 DR FWD,2015,5,5,5,5,FALSE,RLX,4,DR,FWD,,,,
Acura,RDX SUV FWD,2015,4.7,5,5,4,FALSE,RDX,SUV,FWD,,,,,
Acura,RDX SUV AWD,2015,4.7,5,5,4,FALSE,RDX,SUV,AWD,,,,,
Acura,ZDX SUV 4WD,2013,4.3,4,5,4,FALSE,ZDX,SUV,4WD,,,,,
Acura,TLX 4 DR FWD,2015,5,5,5,5,FALSE,TLX,4,DR,FWD,,,,
Acura,TLX 4 DR AWD,2015,5,5,5,5,FALSE,TLX,4,DR,AWD,,,,
Acura,ILX 4 DR FWD,2015,4.3,4,5,4,FALSE,ILX,4,DR,FWD,,,,
Acura,MDX SUV FWD,2015,4.7,5,5,4,FALSE,MDX,SUV,FWD,,,,,
Acura,MDX SUV AWD,2015,4.7,5,5,4,FALSE,MDX,SUV,AWD,,,,,
Acura,RLX 4 DR FWD,2016,5,5,5,5,FALSE,RLX,4,DR,FWD,,,,
Acura,MDX SUV AWD,2016,4.7,5,5,4,FALSE,MDX,SUV,AWD,,,,,
Acura,MDX SUV FWD,2016,4.7,5,5,4,FALSE,MDX,SUV,FWD,,,,,
Acura,ILX 4 DR FWD,2016,4.3,4,5,4,FALSE,ILX,4,DR,FWD,,,,
Acura,RDX SUV FWD,2016,4.7,5,5,4,FALSE,RDX,SUV,FWD,,,,,
Acura,RDX SUV AWD,2016,4.7,5,5,4,FALSE,RDX,SUV,AWD,,,,,
Acura,ILX 4 DR FWD,2013,4.3,4,5,4,FALSE,ILX,4,DR,FWD,,,,
Acura,ILX Hybrid 4 DR FWD,2013,4.3,4,5,4,FALSE,ILX,Hybrid,4,DR,FWD,,,
Acura,TLX 4 DR AWD,2016,5,5,5,5,FALSE,TLX,4,DR,AWD,,,,
Acura,TLX 4 DR FWD,2016,5,5,5,5,FALSE,TLX,4,DR,FWD,,,,
Acura,ILX 4 DR FWD,2014,4.3,4,5,4,FALSE,ILX,4,DR,FWD,,,,
Acura,ILX Hybrid 4 DR FWD,2014,4.3,4,5,4,FALSE,ILX,Hybrid,4,DR,FWD,,,
Acura,MDX SUV FWD,2014,4.7,5,5,4,FALSE,MDX,SUV,FWD,,,,,
Acura,MDX SUV AWD,2014,4.7,5,5,4,FALSE,MDX,SUV,AWD,,,,,
Acura,RDX SUV FWD,2014,4.7,5,5,4,FALSE,RDX,SUV,FWD,,,,,
Acura,RDX SUV AWD,2014,4.7,5,5,4,FALSE,RDX,SUV,AWD,,,,,
Acura,MDX SUV AWD,2017,4.7,5,5,4,FALSE,MDX,SUV,AWD,,,,,
Acura,MDX SUV FWD,2017,4.7,5,5,4,FALSE,MDX,SUV,FWD,,,,,
Acura,ILX 4 DR FWD,2017,4.3,4,5,4,FALSE,ILX,4,DR,FWD,,,,
Acura,RDX SUV FWD,2017,4.7,5,5,4,FALSE,RDX,SUV,FWD,,,,,
Acura,RDX SUV AWD,2017,4.7,5,5,4,FALSE,RDX,SUV,AWD,,,,,
Acura,TLX 4 DR AWD,2017,5,5,5,5,FALSE,TLX,4,DR,AWD,,,,
Acura,TLX 4 DR FWD,2017,5,5,5,5,FALSE,TLX,4,DR,FWD,,,,
Acura,RLX 4 DR FWD,2017,5,5,5,5,FALSE,RLX,4,DR,FWD,,,,
Acura,MDX Sport Hybrid SUV AWD,2017,4.7,5,5,4,FALSE,MDX,Sport,Hybrid,SUV,AWD,,,
Acura,MDX Sport Hybrid SUV AWD,2018,4.7,5,5,4,FALSE,MDX,Sport,Hybrid,SUV,AWD,,,
Acura,RLX 4 DR FWD,2019,5,5,5,5,FALSE,RLX,4,DR,FWD,,,,
Acura,TLX 4 DR FWD,2019,5,5,5,5,FALSE,TLX,4,DR,FWD,,,,
Acura,TLX 4 DR AWD,2019,5,5,5,5,FALSE,TLX,4,DR,AWD,,,,
Acura,RDX 4 DR FWD,2019,4.3,4,5,4,FALSE,RDX,4,DR,FWD,,,,
Acura,RDX 4 DR AWD,2019,4.3,4,5,4,FALSE,RDX,4,DR,AWD,,,,
Acura,RDX SUV FWD,2018,4.7,5,5,4,FALSE,RDX,SUV,FWD,,,,,
Acura,RDX SUV AWD,2018,4.7,5,5,4,FALSE,RDX,SUV,AWD,,,,,
Acura,TLX 4 DR AWD,2018,5,5,5,5,FALSE,TLX,4,DR,AWD,,,,
Acura,TLX 4 DR FWD,2018,5,5,5,5,FALSE,TLX,4,DR,FWD,,,,
Acura,ILX 4 DR FWD,2020,4.3,4,5,4,FALSE,ILX,4,DR,FWD,,,,
Acura,MDX SUV FWD,2019,4.7,5,5,4,FALSE,MDX,SUV,FWD,,,,,
Acura,MDX SUV AWD,2019,4.7,5,5,4,FALSE,MDX,SUV,AWD,,,,,
Acura,MDX Sport Hybrid SUV AWD,2019,4.7,5,5,4,FALSE,MDX,Sport,Hybrid,SUV,AWD,,,
Acura,TLX 4 DR FWD,2020,5,5,5,5,FALSE,TLX,4,DR,FWD,,,,
Acura,TLX 4 DR AWD,2020,5,5,5,5,FALSE,TLX,4,DR,AWD,,,,
